SYMBOL,logFC,AveExpr,t,P.Value,adj.P.Val,B
USP44,-0.894920495,4.879434792,-8.163888274,2.19E-11,7.07E-07,15.46405031
OXTR,-1.950782819,6.886820679,-7.243985691,8.50E-10,1.24E-05,12.06020839
CAVIN2,-1.649063979,6.534448571,-7.166518257,1.16E-09,1.24E-05,11.77310967
PAMR1,-1.875026903,6.705796216,-7.090218748,1.57E-09,1.24E-05,11.49042834
SMYD1,-1.424803443,4.788230358,-7.039496372,1.92E-09,1.24E-05,11.30257455
KLF15,-0.92696957,6.495385474,-6.86956049,3.76E-09,1.75E-05,10.6737549
MYOC,-1.214596294,4.302510161,-6.838401606,4.25E-09,1.75E-05,10.55857161
PIGR,-3.637576445,7.442673381,-6.834428823,4.32E-09,1.75E-05,10.54388864
CNN1,-1.871341533,7.569732487,-6.776312752,5.44E-09,1.84E-05,10.32918052
HIF3A,-0.709222525,6.407940554,-6.76415822,5.70E-09,1.84E-05,10.28429647
NPY2R,-1.013901586,5.648547158,-6.559106796,1.28E-08,2.96E-05,9.5283503
CXCL2,-2.162352914,6.483414874,-6.508114661,1.57E-08,3.38E-05,9.340789448
RYR3,-0.831405123,5.350584351,-6.484864026,1.72E-08,3.47E-05,9.255332823
KCNJ16,-1.002597335,5.059941632,-6.441361768,2.04E-08,3.84E-05,9.095556798
TPO,-0.870782792,5.363790901,-6.429210339,2.14E-08,3.84E-05,9.050954359
ATOH8,-0.809933044,5.612151308,-6.371002412,2.69E-08,4.30E-05,8.837474398
ATP1A2,-1.029675105,6.184684076,-6.36131285,2.79E-08,4.30E-05,8.801966611
HOXA4,-0.67867278,5.745645163,-6.297589328,3.58E-08,4.63E-05,8.568666939
ACADL,-1.371897311,4.741166353,-6.237481893,4.53E-08,5.23E-05,8.348970647
COL17A1,-1.569955781,7.373720348,-6.141095725,6.60E-08,6.57E-05,7.997473168
OR5P1P,-1.128253728,5.029900126,-6.138322642,6.68E-08,6.57E-05,7.987375791
DENND2A,-0.939671416,6.382628222,-6.137123821,6.71E-08,6.57E-05,7.983010911
ZBTB16,-2.187216407,7.744141879,-6.119703819,7.18E-08,6.80E-05,7.919603962
NA,-0.433055571,3.593813902,-6.112984261,7.37E-08,6.80E-05,7.895155026
ADRA1A,-0.817313125,5.059238196,-6.101586797,7.70E-08,6.80E-05,7.853697936
LMOD1,-1.585251491,7.399448877,-6.091881063,8.00E-08,6.80E-05,7.818406633
CLDN8,-2.557248088,6.392613649,-6.068738537,8.75E-08,6.90E-05,7.734303699
CD300LG,-1.041335583,6.995954717,-6.047916054,9.49E-08,7.21E-05,7.658688796
DMD,-1.964976826,6.673448231,-6.025196115,1.04E-07,7.59E-05,7.576246006
NLGN1,-0.929577033,3.973073846,-6.016301698,1.07E-07,7.59E-05,7.54398932
HLF,-1.886462626,7.127853958,-5.990867142,1.18E-07,7.98E-05,7.451804895
SLC16A12,-0.804804465,5.037633138,-5.950758214,1.38E-07,8.60E-05,7.306610814
PLD5,-0.491649071,5.428522705,-5.90648314,1.64E-07,9.65E-05,7.146593397
SCN4B,-0.827055669,6.780771786,-5.878163611,1.83E-07,0.000100394,7.044388668
FAM107A,-0.879846764,7.554331703,-5.851120228,2.03E-07,0.000107789,6.946899433
MIR143,-1.408455489,6.378793914,-5.807496266,2.41E-07,0.000119683,6.789871147
CALU,-0.502991033,7.16758066,-5.752438657,2.97E-07,0.000131711,6.592110688
SPC25,-1.280813637,4.37171275,-5.666496441,4.14E-07,0.000173628,6.284410022
COL10A1,-1.124213066,5.080349715,-5.650642697,4.40E-07,0.000178652,6.22778632
WDR86,-0.67617863,6.174058367,-5.629036109,4.77E-07,0.000181411,6.150686867
DCK,-0.737522944,5.959459932,-5.624151591,4.86E-07,0.000181411,6.133268804
KLHL29,-0.620160498,6.423928389,-5.621162037,4.92E-07,0.000181411,6.122610242
LGI4,-0.953036984,8.216147607,-5.618293748,4.97E-07,0.000181411,6.112385534
KIF23,-0.698716729,5.260732897,-5.610120109,5.13E-07,0.000181411,6.083256768
DMXL2,-1.261627238,9.772974821,-5.573655512,5.90E-07,0.000196882,5.953454734
GINS1,-1.939711786,8.649861562,-5.526741332,7.05E-07,0.00022326,5.786820471
LIFR,-0.63966186,6.717396117,-5.526053345,7.07E-07,0.00022326,5.784379928
GPIHBP1,-0.58129138,5.89752877,-5.512594721,7.44E-07,0.000231215,5.73665565
CCNB1,-0.722391616,7.326281601,-5.48972291,8.11E-07,0.000240663,5.655633132
PCNA,-1.179112125,7.839957533,-5.488025629,8.17E-07,0.000240663,5.649624675
APCDD1,-0.743806644,6.724749265,-5.471405629,8.70E-07,0.000253294,5.590819269
UBE2T,-0.742539105,6.039383434,-5.466169174,8.87E-07,0.000255961,5.572302894
CNTFR,-0.542627811,6.459969155,-5.459494402,9.10E-07,0.000255961,5.548708535
HOXA6,-0.983256574,6.995737524,-5.458477753,9.14E-07,0.000255961,5.545115615
BTNL9,-2.412867959,7.189541101,-5.454728007,9.27E-07,0.000255961,5.531865507
SERPINE1,-0.698815616,3.976907677,-5.44682777,9.55E-07,0.000255961,5.503958544
CLXN,-0.710004424,6.040774864,-5.445876289,9.58E-07,0.000255961,5.500598368
SMC4,-0.876938482,6.334337484,-5.443694556,9.66E-07,0.000255968,5.492894222
SH3RF2,-1.039489355,6.331066223,-5.43249655,1.01E-06,0.000262743,5.453367079
CDK1,-1.214581301,7.906278012,-5.428025458,1.03E-06,0.000265087,5.43759203
ALDH1A3,-0.488480106,5.610200322,-5.410541888,1.10E-06,0.000275222,5.375945596
H3-3A,-2.633208093,5.712019048,-5.410298451,1.10E-06,0.000275222,5.375087695
H3P6,-1.761432874,7.047385842,-5.40847709,1.10E-06,0.000275222,5.368669383
GPR17,-1.422330868,6.550571382,-5.407728453,1.11E-06,0.000275222,5.366031459
AQP7B,-1.289081872,4.425605541,-5.380035851,1.23E-06,0.000291709,5.268535409
ECRG4,-0.881671808,5.846152501,-5.374675088,1.25E-06,0.000291709,5.249680773
FANCI,-0.577989861,6.125479946,-5.373909978,1.26E-06,0.000291709,5.24699026
H3C2,-1.134296577,6.93520189,-5.355922709,1.35E-06,0.000304635,5.183774136
DPY30,-0.76379681,6.998959888,-5.340440177,1.43E-06,0.000312362,5.129416844
FXYD1,-0.723321072,7.106228378,-5.318346585,1.55E-06,0.000331865,5.051939665
ORAI2,-1.211237252,8.520756388,-5.31408398,1.58E-06,0.000335007,5.03700407
H2AZ1,-0.441519413,6.180085457,-5.292074919,1.71E-06,0.000352291,4.959951732
H2BC7,-0.557476809,6.308006523,-5.290307648,1.72E-06,0.000352391,4.953769337
SSX2IP,-0.872681997,4.639501627,-5.270267347,1.86E-06,0.000368249,4.883712377
THY1,-0.53586344,6.15814067,-5.261320805,1.92E-06,0.00037402,4.852466557
IHH,-0.622130324,6.228205691,-5.259649103,1.93E-06,0.00037402,4.846630171
TIMM17A,-1.866674872,7.05947749,-5.257516346,1.95E-06,0.000374776,4.839185038
SKA2,-0.959244344,8.384630806,-5.255545151,1.96E-06,0.000375319,4.83230483
HSD17B6,-0.794311924,6.292134622,-5.249864163,2.00E-06,0.00037828,4.812481059
COMP,-0.932845157,5.421162731,-5.243528216,2.05E-06,0.000383515,4.790380621
PENK,-0.473014435,6.239819802,-5.241559411,2.07E-06,0.000384131,4.783515123
EVA1C,-1.097372339,6.802392971,-5.226613002,2.19E-06,0.000394195,4.731424374
PRPH,-2.253624526,6.248034695,-5.213286663,2.30E-06,0.000399599,4.685024031
ADAMTS6,-1.572149869,5.075369634,-5.206574992,2.36E-06,0.000405199,4.661670874
NR3C2,-0.540754735,5.666159025,-5.202062647,2.40E-06,0.000409903,4.645976252
MIR145,-1.438293208,5.047779415,-5.17768505,2.63E-06,0.000430695,4.561271505
ACBD3,-0.815849681,5.96225747,-5.157822294,2.83E-06,0.000444128,4.492360618
MFAP2,-0.456811773,4.949049591,-5.156096677,2.84E-06,0.000444128,4.486378391
TPTEP1,-0.795662552,6.925565632,-5.141834583,3.00E-06,0.00045957,4.436963725
BRIP1,-0.681632137,7.755756815,-5.135137765,3.08E-06,0.000468901,4.413778206
SPATS2,-0.977698857,7.272374123,-5.129262009,3.14E-06,0.000476423,4.393444508
H2AC13,-0.617098969,5.839379678,-5.128328471,3.15E-06,0.000476423,4.390214688
H3C10,-2.106848492,9.142928412,-5.125258917,3.19E-06,0.000477756,4.379596293
NUP210,-0.884869634,6.169788005,-5.10741629,3.41E-06,0.000495271,4.31792065
CENPI,-2.082589055,8.053573942,-5.106783167,3.42E-06,0.000495271,4.315733639
JADE1,-0.371783685,4.410433706,-5.09759532,3.54E-06,0.00050341,4.284007252
MIR23B,-1.081847814,6.361444595,-5.095827652,3.56E-06,0.000504498,4.277905803
AOPEP,-0.902135021,9.760966295,-5.09122451,3.62E-06,0.000510939,4.262020893
H2AC21,-1.174277007,8.278935099,-5.077114139,3.81E-06,0.000527709,4.213361332
CLCN7,-0.586108913,7.133716914,-5.074377908,3.85E-06,0.000527709,4.203931355
ATP6AP2,-1.143740857,6.211677041,-5.065898724,3.98E-06,0.000542235,4.174721471
MYH11,-0.750406087,8.511446118,-5.056285993,4.12E-06,0.000553684,4.141629126
CLSPN,-1.696676295,5.940895377,-5.055608613,4.13E-06,0.000553684,4.139298113
FAM13C,-1.088082682,8.605896761,-5.050957116,4.20E-06,0.000556599,4.12329452
ARID5B,-1.155236077,7.695714902,-5.049128227,4.23E-06,0.000558087,4.117003725
ARPC1B,-0.586689162,7.549031266,-5.044219561,4.31E-06,0.000560907,4.100123803
SLC30A7,-0.827584331,5.416883554,-5.04393539,4.31E-06,0.000560907,4.099146789
ARHGAP11A,-2.571091414,8.028871799,-5.040661467,4.36E-06,0.000564305,4.087892171
GPR146,-0.915098114,5.670382647,-5.03734342,4.42E-06,0.000566698,4.07648874
TMEM14A,-0.646992736,5.77480787,-5.035100544,4.46E-06,0.000566698,4.068782084
DPP3,-0.96944622,7.065398941,-5.0312829,4.52E-06,0.000566698,4.055667477
FAM13A,-1.700878137,8.213732669,-5.022504496,4.67E-06,0.00057799,4.025525959
KIT,-0.478180311,3.786124445,-5.010032331,4.89E-06,0.000593815,3.982736709
TACR1,-1.061827696,6.026756612,-4.998608659,5.10E-06,0.000617021,3.943581048
SFXN1,-1.18652492,6.080694202,-4.991913663,5.22E-06,0.000630059,3.920649638
CIT,-1.073128813,4.885308217,-4.990175059,5.26E-06,0.000631569,3.914696622
COL11A1,-0.893176735,6.553172825,-4.983316174,5.39E-06,0.000640747,3.891219636
SEMA3G,-0.482581177,7.001417569,-4.980786631,5.44E-06,0.00064204,3.882564585
CXCL10,-0.544471814,4.674870395,-4.980776469,5.44E-06,0.00064204,3.882529817
CLIC1,-0.583332139,4.851020067,-4.979537406,5.47E-06,0.000642627,3.878290895
TSHZ2,-0.744256509,6.731435983,-4.965622203,5.75E-06,0.000671469,3.830714702
ACACB,-1.764929549,8.060425259,-4.962013007,5.83E-06,0.00067643,3.818383478
DYNLL1,-0.394404363,5.73899884,-4.95237324,6.04E-06,0.000690354,3.785465665
FHL5,-0.503198049,6.800619204,-4.946026344,6.18E-06,0.000701895,3.76380632
C10orf90,-0.882850899,9.829243081,-4.945795862,6.19E-06,0.000701895,3.763019988
UBE2C,-0.672333747,6.954771671,-4.944073137,6.23E-06,0.000703875,3.757143069
GREM1,-0.926571621,8.39482552,-4.940763787,6.30E-06,0.000704206,3.745855835
ADGRB3,-1.28424863,5.078874356,-4.939790395,6.33E-06,0.000704206,3.742536453
CYP4F12,-0.504050438,6.39288798,-4.939219131,6.34E-06,0.000704206,3.7405885
NEK2,-0.424059173,6.591361169,-4.937808278,6.37E-06,0.000705434,3.735778016
FAM3D,-0.42419906,6.537736259,-4.933855333,6.47E-06,0.000713289,3.7223029
MME,-2.107963983,5.879163407,-4.932821384,6.49E-06,0.000713562,3.718779012
ACTR2,-1.484005133,7.409252617,-4.928914401,6.58E-06,0.000721398,3.705465982
TACC3,-1.614420078,7.622272477,-4.916661948,6.89E-06,0.00074691,3.663743519
SDS,-1.323524233,7.514006103,-4.914735502,6.94E-06,0.00074968,3.657187359
PRDM8,-0.405042446,6.65115415,-4.912478418,6.99E-06,0.000753379,3.649507285
IQCN,-0.590978916,5.884246359,-4.90881159,7.09E-06,0.000758499,3.637033408
P4HA2,-0.507988272,7.846343245,-4.903457892,7.23E-06,0.000763881,3.618827938
OVCH2,-1.764700556,6.640747038,-4.902758482,7.25E-06,0.000763881,3.616450166
MAP1LC3C,-0.674059778,4.895744304,-4.901744437,7.27E-06,0.000763881,3.61300298
USHBP1,-1.353409838,7.13330147,-4.899334032,7.34E-06,0.000766358,3.604810123
ENTREP1,-1.216943312,7.421911264,-4.889658826,7.60E-06,0.000782423,3.571941172
AQP7P1,-0.433561536,7.200241669,-4.888026742,7.65E-06,0.000784603,3.566399233
AQP7P3,-1.296262517,7.760553745,-4.884965772,7.73E-06,0.000789421,3.556007388
AQP7,-0.706119899,7.65894811,-4.884617965,7.74E-06,0.000789421,3.554826771
HELLS,-0.807823737,5.904127792,-4.876818751,7.97E-06,0.000799886,3.528361739
MAMDC2,-0.863683282,7.865702684,-4.872327002,8.10E-06,0.00080285,3.513127851
H2AC4,-0.699193696,6.031997695,-4.862803209,8.38E-06,0.00082115,3.480846912
H2BC12,-1.226116498,7.262358361,-4.856690333,8.57E-06,0.000828909,3.460141137
KPNA2,-0.492537458,7.185780753,-4.848696842,8.83E-06,0.000846505,3.43308168
H4C12,-1.70512384,7.497843028,-4.833292499,9.34E-06,0.000882231,3.380987822
H4C11,-1.761149676,7.642424402,-4.830789249,9.42E-06,0.000887704,3.372529008
ALDH1L1,-0.820862304,8.096003242,-4.827457424,9.54E-06,0.000893316,3.361273197
TMEM132C,-0.502723379,6.790571367,-4.825231032,9.61E-06,0.000897973,3.353753667
CFL1,-0.677579715,4.802315686,-4.823842966,9.66E-06,0.000899914,3.349066285
PLAUR,-2.158983123,6.541486589,-4.818649375,9.85E-06,0.000906515,3.331533026
SERPINH1,-1.13909627,4.187756605,-4.815743453,9.95E-06,0.000906515,3.321726299
PSMD14,-1.318649175,6.59678165,-4.814783997,9.98E-06,0.000906515,3.318488934
CBX3,-1.105794743,9.496064309,-4.810039766,1.02E-05,0.000917116,3.302485147
GTF3C6,-0.79792195,7.569430811,-4.80551188,1.03E-05,0.000924029,3.28721742
LIMS2,-1.317082349,9.444487191,-4.804909986,1.03E-05,0.000924029,3.285188336
TNXB,-1.103548247,6.029634723,-4.795229909,1.07E-05,0.000940365,3.252570096
TNXA,-0.764861065,6.722750286,-4.794314658,1.08E-05,0.000940365,3.249487496
LTBP4,-1.046146377,7.020903728,-4.785278172,1.11E-05,0.000967039,3.219065834
ZC3H12B,-1.028503946,7.402357748,-4.783898587,1.12E-05,0.000967039,3.214423579
OR5P2,-1.881058365,6.609403108,-4.777605447,1.14E-05,0.000970529,3.193254691
CNTNAP3B,-0.911067907,9.713596228,-4.776531807,1.15E-05,0.000970529,3.189644376
CNTNAP3P2,-2.200028877,7.200260695,-4.775623389,1.15E-05,0.000971184,3.186589924
RBX1,-0.82004419,10.52253858,-4.771480759,1.17E-05,0.000976059,3.172663984
KIF2C,-1.108265522,6.880716018,-4.767842612,1.18E-05,0.000983517,3.160438233
PRR11,-0.601689051,5.592000717,-4.758170333,1.23E-05,0.001008167,3.127954838
ARL6IP1,-1.57957991,7.515459079,-4.754212058,1.24E-05,0.001019113,3.114669622
DEPDC1,-0.625880388,4.745063191,-4.753166982,1.25E-05,0.001019113,3.111162824
SCGB2A1,-1.407421509,5.960722129,-4.750797136,1.26E-05,0.001023422,3.103211939
ATF6B,-0.742694349,5.716337226,-4.746307401,1.28E-05,0.001024417,3.088153526
TUBA1C,-0.53942177,7.616446313,-4.74628423,1.28E-05,0.001024417,3.088075827
HSPA5,-0.442014894,4.979908663,-4.741711142,1.30E-05,0.001035681,3.072744277
COMMD3,-0.772120427,5.254263528,-4.715185223,1.43E-05,0.001105761,2.983942597
FPR3,-0.42542402,5.818151816,-4.710747011,1.45E-05,0.001116404,2.969106115
SOCS2,-0.794183783,6.03161033,-4.710178251,1.46E-05,0.001116404,2.967205255
MYBL2,-0.707539415,6.027483053,-4.703946197,1.49E-05,0.001133676,2.946383713
SH3BGRL2,-0.393067782,7.611361206,-4.699054143,1.52E-05,0.001148406,2.930047743
COL3A1,-0.921902337,5.158449968,-4.696139868,1.53E-05,0.001152355,2.920319737
OAS3,-0.45999482,6.317090057,-4.693904176,1.55E-05,0.001156338,2.912858704
KRT17,-1.554211732,7.866636701,-4.690762677,1.56E-05,0.001163791,2.902377451
TMEM178A,-1.370371639,8.536789756,-4.687100661,1.58E-05,0.001171312,2.890163513
